layer1_category,layer2_category,layer3_category,distinct_users,black_users,white_users,pink_users,weak_white,good_white,best_white,weak_black,good_black,best_black,weak_pink,good_pink,best_pink
عمومی,اخبار و اطلاع‌رسانی عمومی,اخبار و اطلاع‌رسانی عمومی,197745,118553,59799,19393,44719,14209,871,19101,52327,47125,0,1,19392
عمومی,آموزش و آزمون‌ها,آموزش و آزمون‌ها,2961319,1472549,1233737,255033,453564,580043,200130,176002,305980,990567,0,274,254759
عمومی,بازار بورس و اوراق بهادار,بازار بورس و اوراق بهادار,10128404,6441367,3531581,155456,1861874,1303808,365899,929823,1526520,3985024,0,12761,142695
عمومی,بازار دست‌دوم و خدمات,بازار دست‌دوم و خدمات,11651707,6010011,5141363,500333,2475960,1913518,751885,1169912,1139693,3700406,0,42,500291
عمومی,بیمه شخصی/خانوار/خودرو,بیمه شخصی/خانوار/خودرو,12805171,8238538,3801263,765370,2912715,321470,567078,1306566,1551350,5380622,6,1636,763728
عمومی,پرداخت و تراکنش آنلاین,پرداخت و تراکنش آنلاین,2465616,1414733,900721,150162,325098,435668,139955,150933,275592,988208,0,537,149625
عمومی,تاکسی اینترنتی: مسافران,تاکسی اینترنتی: مسافران,5313386,2767181,2211422,334783,668043,1165392,377987,248595,506037,2012549,0,1,334782
عمومی,تسهیلات، وام و لیزینگ,تسهیلات، وام و لیزینگ,5144339,2874239,1947436,322664,793059,858559,295818,406451,546267,1921521,2,5733,316929
عمومی,حمل‌ونقل درون‌شهری: پیک/مرسوله,حمل‌ونقل درون‌شهری: پیک/مرسوله,5051996,2634594,2184817,232585,795376,1085078,304363,311366,515635,1807593,0,71,232514
عمومی,خدمات اینترنت,خدمات اینترنت,262172,161738,94761,5673,38403,45493,10865,20967,38234,102537,0,38,5635
عمومی,خدمات پزشکی و تصویربرداری,خدمات پزشکی و تصویربرداری,8958600,5192517,3252169,513914,1154064,1557618,540487,648553,1005187,3538777,1,582,513331
عمومی,خدمات حقوقی و قضایی,خدمات حقوقی و قضایی,157792,89474,58786,9532,45201,5410,8175,6695,20076,62703,0,0,9532
عمومی,خدمات خودرو (قطعه/تعمیر/نگهداری),خدمات خودرو (قطعه/تعمیر/نگهداری),1384127,894574,429263,60290,331558,33919,63786,122495,155534,616545,57,0,60233
عمومی,خدمات دامپزشکی,خدمات دامپزشکی,32971,19534,12535,902,4801,6469,1265,1979,5010,12545,0,0,902
عمومی,خدمات زیبایی و سالن,خدمات زیبایی و سالن,191301,97930,85290,8081,28255,46853,10182,8749,21207,67974,0,51,8030
عمومی,خدمات سفر و گردشگری (اقامت/تور/ویزا/بلیت),خدمات سفر و گردشگری (اقامت/تور/ویزا/بلیت),5479972,2705741,2263981,510250,991187,977152,295642,402452,554281,1749008,0,1342,508908
عمومی,خدمات شهری و شهروندی آنلاین,خدمات شهری و شهروندی آنلاین,911690,617998,260544,33148,109879,118480,32185,119946,111091,386961,0,6,33142
عمومی,خدمات منزل و تاسیسات آنلاین,خدمات منزل و تاسیسات آنلاین,379853,225468,135047,19338,46718,69966,18363,21622,47242,156604,0,3,19335
عمومی,خدمات مهندسی و ساخت‌وساز,خدمات مهندسی و ساخت‌وساز,226809,136780,84370,5659,35571,41386,7413,14135,37496,85149,0,0,5659
عمومی,خرید اقساطی و اعتبارسنجی,خرید اقساطی و اعتبارسنجی,3568304,2000208,1450962,117134,656277,589334,205351,299410,423629,1277169,9,13004,104121
عمومی,خرید آنلاین کالا (پوشاک/مصرفی/بهداشتی/الکترونیک),خرید آنلاین کالا (پوشاک/مصرفی/بهداشتی/الکترونیک),6997611,3651663,2984488,361460,1232109,1347779,404600,494238,770952,2386473,23,4584,356853
عمومی,خرید و فروش خودرو,خرید و فروش خودرو,575571,328441,213332,33798,88351,91249,33732,40148,67243,221050,0,0,33798
عمومی,رمزارز و صرافی ارز دیجیتال,رمزارز و صرافی ارز دیجیتال,4444353,2297827,1965467,181059,981979,721817,261671,384427,516081,1397319,85,10604,170370
عمومی,رویدادهای فرهنگی حضوری,رویدادهای فرهنگی حضوری,2178694,1135595,959668,83431,317323,520102,122243,88661,254242,792692,0,3,83428
عمومی,زیرساخت ابری، سرور و دیتاسنتر,زیرساخت ابری، سرور و دیتاسنتر,59029,31476,25855,1698,10596,11701,3558,3243,7827,20406,0,3,1695
عمومی,سرگرمی دیجیتال عمومی (گیم/فیلم/سریال/موسیقی/کتاب),سرگرمی دیجیتال عمومی (گیم/فیلم/سریال/موسیقی/کتاب),11194144,5474349,4511508,1208287,1694638,1952396,864474,629616,3030588,1814145,0,326,1207961
عمومی,سرمایه‌گذاری/خرید طلا (آنلاین/آفلاین),سرمایه‌گذاری/خرید طلا (آنلاین/آفلاین),17209284,8473630,7778934,956720,3875860,2786122,1116952,1471480,1940129,5062021,2151,62021,892548
عمومی,سفارش آنلاین غذا و نوشیدنی,سفارش آنلاین غذا و نوشیدنی,4764947,2598909,2071587,94451,748514,1003911,319162,305258,513522,1780129,0,50,94401
عمومی,سلامت و تناسب‌اندام,سلامت و تناسب‌اندام,111711,58853,46945,5913,17154,22468,7323,6264,11690,40899,0,183,5730
عمومی,شبکه‌های اجتماعی و دوستیابی,شبکه‌های اجتماعی و دوستیابی,535518,224307,231777,79434,103582,82267,45928,39247,109301,75759,0,8,79426
عمومی,علاقه‌مندان به محتوای ورزشی,علاقه‌مندان به محتوای ورزشی,859020,458703,340784,59533,129759,149736,61289,57262,86723,314718,0,7,59526
عمومی,کاریابی و استخدام,کاریابی و استخدام,588062,290698,265316,32048,85954,143631,35731,25595,61014,204089,0,1,32047
عمومی,کمک‌های خیریه و نیکوکاری,کمک‌های خیریه و نیکوکاری,1227189,779906,415249,32034,189392,188468,37389,118405,199763,461738,0,3,32031
کسب و کار,پذیرندگی پرداخت و کارتخوان,پذیرندگی پرداخت و کارتخوان,1000189,604387,352355,43447,140326,157790,54239,95442,96464,412481,0,4,43443
کسب و کار,تاکسی اینترنتی: رانندگان,تاکسی اینترنتی: رانندگان,1358563,819368,533782,5413,223575,230253,79954,125688,150753,542927,0,0,5413
کسب و کار,تأمین و توزیع کالاهای تندمصرف,تأمین و توزیع کالاهای تندمصرف,578460,342600,208925,26935,152583,18290,38052,35749,54171,252680,0,68,26867
کسب و کار,تحول دیجیتال و ابزارهای هوشمند کسب‌وکار,تحول دیجیتال و ابزارهای هوشمند کسب‌وکار,1947557,1095773,692519,159265,515950,48313,128256,119133,601222,375418,49,18,159198
کسب و کار,حسابداری، مالیات و کنترل اسناد,حسابداری، مالیات و کنترل اسناد,21298,12197,8438,663,2903,4206,1329,1130,2327,8740,0,0,663
عمومی,دارای ویژگی‌های جمعیتی,افراد علاقه مند به فناوری,1114666,568747,440089,105830,150948,204815,84326,58061,315382,195304,0,12,105818
عمومی,دارای ویژگی‌های جمعیتی,بازنشستگان,122048,79412,40072,2564,20407,16831,2834,18033,20525,40854,0,9,2555
عمومی,دارای ویژگی‌های جمعیتی,دارندگان آیفون,1163053,594857,479271,88925,160792,260642,57837,56830,121344,416683,0,0,88925
عمومی,دارای ویژگی‌های جمعیتی,دانشجویان,1909056,898522,920677,89857,352847,454915,112915,141897,179535,577090,0,380,89477
عمومی,دارای ویژگی‌های جمعیتی,سرپرستان خانوار,12985756,7922459,4583172,480125,1907840,2036638,638694,1266994,1538650,5116815,0,10,480115
کسب و کار,دارای ویژگی‌های جمعیتی,مدیران کسب و کارها و اصناف,569483,342481,196623,30379,149304,18003,29316,34289,65589,242603,0,3,30376
